day,open,high,low,close,volume
2022-03-08,1.2,1.2,1.2,1.2,3585
2022-03-08,1.1899,1.1973,1.1899,1.1973,4795
2022-03-08,1.19,1.19,1.17,1.17,240
2022-03-08,1.19,1.19,1.19,1.19,1120
2022-03-08,1.18,1.18,1.1747,1.1792,409
2022-03-08,1.18,1.185,1.18,1.185,3282
2022-03-08,1.18,1.18,1.18,1.18,406
2022-03-08,1.18,1.18,1.18,1.18,1219
2022-03-08,1.18,1.1973,1.17,1.19,6527
2022-03-08,1.2,1.2,1.2,1.2,229
2022-03-07,1.19,1.19,1.16,1.16,741
2022-03-07,1.18,1.19,1.16,1.19,32442
2022-03-07,1.1989,1.1989,1.1989,1.1989,200
2022-03-07,1.18,1.18,1.18,1.18,217
2022-03-07,1.19,1.1993,1.19,1.1993,803
2022-03-07,1.18,1.18,1.18,1.18,101
2022-03-07,1.19,1.19,1.19,1.19,414
2022-03-07,1.1809,1.195,1.1809,1.195,700
2022-03-07,1.1989,1.1989,1.1989,1.1989,200
2022-03-07,1.1809,1.1809,1.1809,1.1809,555
2022-03-07,1.19,1.19,1.18,1.18,6833
2022-03-07,1.2,1.2,1.2,1.2,287
2022-03-07,1.19,1.2,1.19,1.19,1507
2022-03-07,1.19,1.19,1.19,1.19,1288
2022-03-07,1.2,1.2,1.19,1.19,1002
2022-03-07,1.24,1.24,1.24,1.24,200
2022-03-07,1.2,1.202,1.2,1.202,1755
2022-03-07,1.21,1.21,1.2,1.2,2690
2022-03-07,1.22,1.22,1.2,1.21,3206
2022-03-07,1.256,1.26,1.256,1.26,688
2022-03-07,1.21,1.21,1.21,1.21,6699
2022-03-07,1.23,1.24,1.22,1.22,1625
2022-03-04,1.21,1.225,1.21,1.21,909
2022-03-04,1.24,1.24,1.23,1.23,1302
2022-03-04,1.22,1.23,1.22,1.23,2603
2022-03-04,1.2499,1.2499,1.22,1.22,3034
2022-03-04,1.24,1.24,1.2348,1.2348,702
2022-03-04,1.23,1.23,1.23,1.23,400
2022-03-04,1.22,1.22,1.22,1.22,164
2022-03-04,1.21,1.21,1.21,1.21,100
2022-03-04,1.2558,1.26,1.2558,1.26,289
2022-03-04,1.21,1.21,1.21,1.21,600
2022-03-04,1.22,1.22,1.22,1.22,495
2022-03-04,1.21,1.23,1.21,1.23,9051
2022-03-04,1.22,1.22,1.21,1.21,3316
2022-03-04,1.2246,1.2246,1.2246,1.2246,200
2022-03-04,1.22,1.22,1.22,1.22,100
2022-03-04,1.25,1.25,1.25,1.25,10021
2022-03-04,1.2916,1.2916,1.2916,1.2916,451
2022-03-03,1.225,1.24,1.225,1.24,704
2022-03-03,1.2277,1.2277,1.2277,1.2277,200
2022-03-03,1.23,1.23,1.23,1.23,411
2022-03-03,1.225,1.225,1.225,1.225,204
2022-03-03,1.23,1.23,1.23,1.23,188
2022-03-03,1.225,1.225,1.225,1.225,100
2022-03-03,1.23,1.23,1.22,1.22,457
2022-03-03,1.24,1.24,1.22,1.22,634
2022-03-03,1.2477,1.2477,1.2477,1.2477,120
2022-03-03,1.24,1.24,1.24,1.24,950
2022-03-03,1.2438,1.2438,1.24,1.24,2737
2022-03-03,1.26,1.26,1.26,1.26,300
2022-03-03,1.31,1.31,1.27,1.27,1219
2022-03-02,1.28,1.28,1.25,1.25,1595
2022-03-02,1.28,1.28,1.28,1.28,201
2022-03-02,1.28,1.28,1.28,1.28,100
2022-03-02,1.295,1.295,1.29,1.2947,1132
2022-03-02,1.2999,1.2999,1.2999,1.2999,150
2022-03-02,1.29,1.29,1.29,1.29,395
2022-03-02,1.29,1.29,1.29,1.29,154
2022-03-02,1.3,1.3,1.29,1.2999,1240
2022-03-02,1.29,1.29,1.29,1.29,160
2022-03-02,1.32,1.33,1.32,1.33,1090
2022-03-02,1.29,1.33,1.29,1.33,2657
2022-03-01,1.29,1.29,1.29,1.29,407
2022-03-01,1.26,1.3,1.26,1.3,500
2022-03-01,1.27,1.27,1.27,1.27,201
2022-03-01,1.2962,1.2962,1.2962,1.2962,350
2022-03-01,1.285,1.285,1.285,1.285,120
2022-03-01,1.26,1.26,1.26,1.26,1419
2022-03-01,1.28,1.28,1.28,1.28,276
2022-03-01,1.25,1.25,1.25,1.25,100
2022-03-01,1.29,1.29,1.27,1.27,2058
2022-03-01,1.3189,1.3189,1.3189,1.3189,1500
2022-03-01,1.27,1.3299,1.27,1.3299,216
2022-03-01,1.27,1.3,1.25,1.25,663
2022-03-01,1.23,1.23,1.23,1.23,110
2022-03-01,1.24,1.24,1.23,1.23,1700
2022-02-28,1.3,1.3,1.3,1.3,200
2022-02-28,1.31,1.31,1.3,1.3,708
2022-02-28,1.33,1.33,1.3,1.3,435
2022-02-28,1.3335,1.3335,1.319,1.319,3205
2022-02-28,1.335,1.34,1.335,1.34,301
2022-02-28,1.3,1.3,1.3,1.3,278
2022-02-28,1.28,1.2933,1.28,1.2933,1811
2022-02-28,1.285,1.285,1.28,1.28,2010
2022-02-28,1.29,1.29,1.29,1.29,399
2022-02-28,1.31,1.31,1.3,1.3,2506
2022-02-28,1.33,1.33,1.33,1.33,100
2022-02-28,1.32,1.3399,1.32,1.3332,500
2022-02-28,1.3399,1.3399,1.3399,1.3399,200
2022-02-28,1.3,1.3,1.3,1.3,300
2022-02-28,1.29,1.3104,1.29,1.3104,357
2022-02-28,1.2901,1.2901,1.2901,1.2901,445
2022-02-28,1.34,1.34,1.34,1.34,600
2022-02-28,1.31,1.31,1.29,1.29,1724
2022-02-28,1.33,1.33,1.31,1.31,309
2022-02-28,1.3,1.3,1.29,1.29,1206
2022-02-28,1.2736,1.2988,1.27,1.2988,1485
2022-02-28,1.33,1.33,1.2714,1.2714,7384
2022-02-28,1.32,1.32,1.32,1.32,403
2022-02-25,1.34,1.36,1.34,1.36,731
2022-02-25,1.36,1.36,1.36,1.36,100
2022-02-25,1.3699,1.3699,1.355,1.355,1001
2022-02-25,1.3569,1.37,1.3569,1.37,503
2022-02-25,1.35,1.35,1.35,1.35,594
2022-02-25,1.36,1.38,1.36,1.38,604
2022-02-25,1.35,1.35,1.35,1.35,150
2022-02-25,1.3401,1.3401,1.3401,1.3401,302
2022-02-25,1.37,1.37,1.37,1.37,100
2022-02-25,1.35,1.35,1.35,1.35,221
2022-02-25,1.3507,1.3507,1.3501,1.3501,612
