day,open,high,low,close,volume
2022-03-10,158.17,158.52,158.11,158.19,51517
2022-03-10,158.21,158.52,158.17,158.17,116287
2022-03-10,158.17,158.52,158.12,158.22,55527
2022-03-10,158.45,158.52,157.99,158.17,3744431
2022-03-10,157.89,158.6899,157.59,158.52,6352024
2022-03-10,158.02,158.1499,157.41,157.905,3123622
2022-03-10,158.49,158.6599,157.74,158.01,2594721
2022-03-10,159.02,159.08,158.04,158.48,2998145
2022-03-10,158.14,159.19,158.14,159.015,2697228
2022-03-10,158.23,158.62,157.21,158.13,2556072
2022-03-10,157.82,158.375,157.13,158.23,2194719
2022-03-10,157.55,158.54,157.41,157.82,3302472
2022-03-10,156.72,157.738,156.72,157.55,2437108
2022-03-10,156.82,157.17,156.57,156.715,2057192
2022-03-10,156.3313,157.075,156.24,156.83,2526290
2022-03-10,156.06,156.54,155.98,156.32,2559598
2022-03-10,156.645,156.67,156.0,156.07,3141488
2022-03-10,157.21,157.21,156.55,156.655,1952155
2022-03-10,157.1,157.5,156.9818,157.21,2071492
2022-03-10,157.36,157.44,156.91,157.0901,2396841
2022-03-10,157.29,157.44,157.03,157.3601,2464037
2022-03-10,156.68,157.45,156.4,157.28,3704376
2022-03-10,157.33,157.34,156.48,156.6791,3863437
2022-03-10,157.77,157.77,157.16,157.3301,2837429
2022-03-10,158.02,158.27,157.6,157.78,2645732
2022-03-10,158.135,158.37,157.66,158.015,2976954
2022-03-10,158.22,158.95,158.11,158.12,3464839
2022-03-10,158.93,158.93,157.9,158.22,4371101
2022-03-10,158.52,160.11,158.03,158.921,6614913
2022-03-10,160.2,160.39,158.48,158.5218,8693998
2022-03-10,160.2,160.4,160.07,160.4,184575
2022-03-10,160.18,160.35,160.11,160.2,190340
2022-03-10,160.38,160.44,160.1,160.18,205787
2022-03-10,160.03,160.89,160.0,160.36,267652
2022-03-10,160.12,160.1401,159.96,160.03,105039
2022-03-10,160.4002,162.48,159.85,160.09,362845
2022-03-10,160.57,160.58,160.0,160.0,122729
2022-03-10,160.86,160.94,160.51,160.56,54433
2022-03-10,160.49,160.92,160.3,160.89,51406
2022-03-10,160.24,160.64,160.0,160.49,68162
2022-03-10,160.42,160.42,159.92,160.1,25190
2022-03-10,160.64,160.64,160.51,160.63,2382
2022-03-10,160.41,160.75,160.31,160.64,5919
2022-03-10,160.53,160.65,160.1,160.22,9603
2022-03-10,161.0,161.01,160.5,160.53,9992
2022-03-10,161.26,161.34,160.78,160.78,6785
2022-03-10,160.6,161.2,160.56,161.2,4648
2022-03-10,161.0,161.0,160.5,160.5,9137
2022-03-10,161.58,161.58,160.64,160.99,22395
2022-03-10,161.28,161.83,161.28,161.7,10581
2022-03-10,161.85,161.87,161.5,161.53,4690
2022-03-10,161.75,162.0,161.54,161.85,22679
2022-03-09,162.2,162.25,162.08,162.25,14082
2022-03-09,162.05,162.27,162.05,162.2,8142
2022-03-09,162.0999,162.19,161.9,162.12,6174
2022-03-09,161.99,162.1,161.96,162.1,16867
2022-03-09,161.83,162.01,161.8,161.97,15673
2022-03-09,161.94,162.08,161.8,161.81,21388
2022-03-09,162.4,162.43,161.78,161.94,54461
2022-03-09,162.5,162.5,162.33,162.4,23259
2022-03-09,162.44,162.5,162.3501,162.5,17282
