day,open,high,low,close,volume
2022-03-11,124.02,124.02,124.02,124.02,500
2022-03-11,124.25,124.25,124.25,124.25,1000
2022-03-11,124.4,124.4,124.25,124.25,501
2022-03-11,123.96,123.96,123.96,123.96,5211
2022-03-11,123.96,124.74,123.96,124.74,87935
2022-03-11,124.29,124.31,123.91,123.97,540108
2022-03-11,124.41,124.4904,124.23,124.27,197422
2022-03-11,124.28,124.58,124.28,124.42,104131
2022-03-11,124.34,124.41,124.21,124.28,75042
2022-03-11,124.46,124.53,124.15,124.355,110627
2022-03-11,124.63,124.65,124.42,124.46,75977
2022-03-11,124.595,124.68,124.51,124.63,77630
2022-03-11,124.63,124.73,124.49,124.59,63291
2022-03-11,124.8,124.89,124.58,124.67,88049
2022-03-11,124.77,124.84,124.69,124.7899,48148
2022-03-11,124.48,124.84,124.4477,124.75,51445
2022-03-11,124.42,124.795,124.3,124.52,86076
2022-03-11,124.5,124.5599,124.39,124.42,66215
2022-03-11,124.62,124.76,124.45,124.48,90454
2022-03-11,124.675,124.93,124.64,124.66,101611
2022-03-11,124.85,124.9999,124.58,124.6787,94490
2022-03-11,125.225,125.3435,124.85,124.875,104346
2022-03-11,126.03,126.05,125.15,125.2,108615
2022-03-11,125.97,126.25,125.89,126.015,81524
2022-03-11,126.61,126.77,125.92,125.96,131644
2022-03-11,126.44,126.74,126.2,126.61,129999
2022-03-11,125.91,126.73,125.75,126.44,238463
2022-03-11,124.65,125.93,124.58,125.89,143564
2022-03-11,125.825,125.93,124.55,124.61,156495
2022-03-11,124.99,126.0,124.91,125.8429,170315
2022-03-11,125.0,125.14,124.42,125.015,272656
2022-03-11,125.03,125.3,125.03,125.03,2373
2022-03-11,125.03,125.03,125.03,125.03,638
2022-03-11,125.03,125.03,125.03,125.03,161
2022-03-11,125.5,125.5,125.5,125.5,105
2022-03-11,125.15,125.83,125.04,125.6,2555
2022-03-11,125.5,125.5,125.5,125.5,809
2022-03-11,125.5,125.5,125.5,125.5,100
2022-03-11,125.1,125.1,125.1,125.1,207
2022-03-11,125.48,125.5,125.48,125.5,601
2022-03-10,124.53,124.53,124.53,124.53,170
2022-03-10,124.53,124.53,124.53,124.53,111
2022-03-10,124.6,124.6,124.6,124.6,500
2022-03-10,124.53,124.53,124.53,124.53,600
2022-03-10,124.35,124.35,124.35,124.35,536
2022-03-10,124.53,124.53,124.53,124.53,500
2022-03-10,124.53,124.53,124.53,124.53,2272
2022-03-10,124.51,124.53,124.51,124.53,3551
2022-03-10,124.45,124.45,124.36,124.36,1085
2022-03-10,124.35,124.36,124.35,124.36,43180
2022-03-10,124.35,124.59,124.25,124.3,528771
2022-03-10,124.18,124.47,124.04,124.355,201737
2022-03-10,124.28,124.37,124.0523,124.17,191391
2022-03-10,124.3,124.33,124.075,124.26,131007
2022-03-10,124.1,124.455,124.09,124.28,122792
2022-03-10,124.16,124.33,124.08,124.11,97748
2022-03-10,124.125,124.36,124.06,124.16,115775
2022-03-10,123.66,124.2453,123.66,124.13,128564
2022-03-10,123.33,123.72,123.32,123.675,229175
2022-03-10,123.35,123.455,123.17,123.33,188597
2022-03-10,123.26,123.505,123.25,123.36,145813
2022-03-10,123.17,123.43,123.15,123.28,285243
2022-03-10,123.47,123.57,123.125,123.19,248980
2022-03-10,124.05,124.16,123.44,123.48,101667
2022-03-10,123.585,124.1,123.55,124.07,84910
2022-03-10,123.42,123.63,123.33,123.59,150855
2022-03-10,123.45,123.53,123.2575,123.435,125946
2022-03-10,123.64,123.68,123.43,123.45,167355
2022-03-10,123.86,123.86,123.55,123.64,163237
2022-03-10,124.09,124.2129,123.8,123.88,168128
2022-03-10,124.5928,124.86,124.07,124.11,150620
2022-03-10,124.8,124.95,124.51,124.58,112475
2022-03-10,125.24,125.42,124.76,124.76,158134
2022-03-10,125.44,125.88,125.24,125.25,103422
2022-03-10,125.37,125.521,124.85,125.45,162038
2022-03-10,125.75,126.03,125.3,125.39,425229
2022-03-10,125.8001,126.42,125.8001,126.42,3406
2022-03-10,125.99,125.99,125.8,125.8,1206
2022-03-10,125.9,125.99,125.9,125.99,376
2022-03-10,125.69,125.75,125.69,125.75,568
2022-03-10,125.37,125.59,125.32,125.59,2957
2022-03-10,125.71,125.71,125.4,125.4,634
2022-03-10,125.75,125.75,125.75,125.75,100
2022-03-10,125.4,125.5,125.4,125.5,470
2022-03-10,125.26,125.37,125.2,125.35,1709
2022-03-10,125.8,125.8,125.8,125.8,520
2022-03-09,126.43,126.44,126.4299,126.4299,1800
2022-03-09,126.35,126.44,126.35,126.3999,1245
2022-03-09,126.34,126.34,126.34,126.34,200
2022-03-09,126.3,126.3,126.3,126.3,119
2022-03-09,126.29,126.29,126.29,126.29,400
2022-03-09,126.3,126.3,126.3,126.3,107
2022-03-09,126.04,126.1,126.04,126.1,510
2022-03-09,126.32,126.32,126.32,126.32,100
2022-03-09,126.27,126.27,126.07,126.07,663
2022-03-09,126.22,126.27,126.1,126.27,74177
2022-03-09,126.57,126.67,126.02,126.24,591518
2022-03-09,126.96,127.025,126.515,126.58,204233
2022-03-09,126.84,126.99,126.77,126.965,123003
2022-03-09,126.43,126.865,126.35,126.83,153813
2022-03-09,126.58,126.77,126.42,126.42,98384
2022-03-09,126.99,127.02,126.54,126.58,109120
2022-03-09,126.6683,127.0305,126.59,126.975,93384
2022-03-09,126.8839,126.9,126.45,126.64,142812
2022-03-09,127.21,127.21,126.86,126.9,71241
2022-03-09,127.47,127.47,127.16,127.2,87590
2022-03-09,127.57,127.66,127.3984,127.48,72863
2022-03-09,127.62,127.665,127.41,127.57,95092
2022-03-09,127.61,127.65,127.42,127.64,88448
2022-03-09,127.74,127.89,127.57,127.625,80646
2022-03-09,127.7499,127.87,127.5,127.695,83409
2022-03-09,127.975,128.04,127.64,127.74,86238
